environment,population,topology,sanctioning,rep,r,gini,compliance_rate,n_agents
commons,mixed,scale_free,on,rep2,0.21370442082230431,0.3703860661679532,0.4,20
commons,mixed,scale_free,on,rep3,0.4868510989433333,0.45411680098686924,0.42333333333333334,20
commons,mixed,scale_free,on,rep4,0.18350120209889553,0.414471724716867,0.38666666666666666,20
commons,mixed,scale_free,on,rep5,0.11080046205192264,0.36542885909986533,0.37,20
commons,mixed,scale_free,on,rep6,0.40377678931826383,0.3881169151039745,0.4,20
commons,mixed,scale_free,on,rep7,0.28085927527627425,0.38888838952031235,0.36,20
commons,mixed,scale_free,on,rep8,0.07241139998295734,0.41623422862906323,0.41,20
triage,uniform_fair,fully_connected,off,rep1,,0.44062500000000004,0.8233333333333334,20
triage,uniform_fair,fully_connected,off,rep2,,0.3579908675799086,0.8,20
triage,uniform_fair,fully_connected,off,rep3,,0.4395,0.82,20
triage,uniform_fair,fully_connected,off,rep4,,0.45306406685236755,0.8133333333333334,20
triage,uniform_fair,fully_connected,off,rep5,,0.5015723270440251,0.8166666666666667,20
triage,uniform_fair,fully_connected,off,rep6,,0.32958333333333334,0.83,20
triage,uniform_fair,fully_connected,off,rep7,,0.45333333333333337,0.9,20
triage,uniform_fair,fully_connected,off,rep8,,0.45167130919220044,0.8466666666666667,20
triage,uniform_fair,fully_connected,on,rep1,,0.3765384615384615,0.81,20
triage,uniform_fair,fully_connected,on,rep2,,0.445676429567643,0.81,20
triage,uniform_fair,fully_connected,on,rep3,,0.48036211699164344,0.8366666666666667,20
triage,uniform_fair,fully_connected,on,rep4,,0.494375,0.8033333333333333,20
triage,uniform_fair,fully_connected,on,rep5,,0.5109022556390976,0.8133333333333334,20
triage,uniform_fair,fully_connected,on,rep6,,0.5283050847457627,0.7533333333333333,20
triage,uniform_fair,fully_connected,on,rep7,,0.546111111111111,0.78,20
triage,uniform_fair,fully_connected,on,rep8,,0.4488888888888889,0.7933333333333333,20
triage,uniform_fair,clustered,off,rep1,0.6356577767568617,0.4085284280936454,0.9033333333333333,20
triage,uniform_fair,clustered,off,rep2,0.05018469178418539,0.3543749999999999,0.8633333333333333,20
triage,uniform_fair,clustered,off,rep3,0.2217091727342759,0.3552631578947367,0.8833333333333333,20
triage,uniform_fair,clustered,off,rep4,0.07631757831493757,0.326111111111111,0.9166666666666666,20
triage,uniform_fair,clustered,off,rep5,0.46970045671170835,0.32067669172932334,0.8633333333333333,20
triage,uniform_fair,clustered,off,rep6,0.652082671149017,0.4675,0.9,20
triage,uniform_fair,clustered,off,rep7,0.19082691994123435,0.29113712374581935,0.91,20
